homepage,ip,address,ip_range,provider,lat,lon
http://malyn-rada.gov.ua,89.184.94.140,"Internet Invest Ltd. 50 Gaydara str., Kyiv, Ukraine, 01033","['89.184.88.0', '89.184.95.255']",MIROHOST,50.470785,30.476065
http://mariupolrada.gov.ua,172.67.30.230,101 Townsend Street San Francisco CA 94107 United States,"['172.64.0.0', '172.71.255.255']",CLOUDFLARENET,37.78023,-122.39047
http://mashivka.adm-pl.gov.ua,91.219.220.38,"Solver Ltd 1100-letiya Poltavy, 2 Poltava, Ukraine","['91.219.220.0', '91.219.223.255']",SOLVERNET,49.5897,34.5508
http://mashivka-rada.gov.ua,195.248.234.252,"21029, Ukraine, Vinnitsa Khmelnytske shose str 112-A","['195.248.234.0', '195.248.235.255']",BESTHOSTING-NET,44.9333,34.1
http://matviivska-gromada.gov.ua,185.68.16.135,"Hosting Ukraine LTD PO Box 65 04112, Kiev, Ukraine","['185.68.16.0', '185.68.16.255']",HUPROXY,50.466847,30.449383
http://medlib.dp.gov.ua,195.64.191.106,"2, Oleksandra Polia Ave, Dnipro, Ukraine, 49004","['195.64.190.0', '195.64.191.255']",GIKNPC-NET,48.47,35.05
http://medzhybizka-gromada.gov.ua,195.248.234.252,"21029, Ukraine, Vinnitsa Khmelnytske shose str 112-A","['195.248.234.0', '195.248.235.255']",BESTHOSTING-NET,44.9333,34.1
http://me.gov.ua,80.91.163.168,"PJSC DATAGROUP Smolenskaya str., 31-33 03005 Kiyv Ukraine","['80.91.163.160', '80.91.163.175']",MINECONOM-NEWLINE,50.45111,30.445154
http://meriatokmak.gov.ua,185.104.45.90,"Hosting Ukraine LTD PO Box 65 04112, Kiev, Ukraine","['185.104.45.0', '185.104.45.255']",HOSTING-UKRAINE-WEB,50.466847,30.449383
http://meriazp.gov.ua,94.130.156.39,Hetzner Online GmbH Industriestrasse 25 D-91710 Gunzenhausen Germany,"['94.130.156.32', '94.130.156.63']",HOS-193423,49.124827,10.780514
http://mexico.mfa.gov.ua,104.18.15.64,101 Townsend Street San Francisco CA 94107 United States,"['104.16.0.0', '104.31.255.255']",CLOUDFLARENET,37.78023,-122.39047
http://mfa.gov.ua,104.18.15.64,101 Townsend Street San Francisco CA 94107 United States,"['104.16.0.0', '104.31.255.255']",CLOUDFLARENET,37.78023,-122.39047
http://mikolaivlis.gov.ua,31.131.23.233,"61015, Ukraine, Kharkiv, Donbasivskiy alley, 17, of. 59","['31.131.16.0', '31.131.31.255']",VPS-UA,49.59,36.43
http://mil.gov.ua,104.18.6.221,101 Townsend Street San Francisco CA 94107 United States,"['104.16.0.0', '104.31.255.255']",CLOUDFLARENET,37.78023,-122.39047
http://mil.loga.gov.ua,193.29.204.71,"Kyiv, Ukraine ","['193.29.204.0', '193.29.204.255']",ORG-SCFC1-RIPE,50.25,30.5
http://minagro.gov.ua,195.182.194.141,"03022, UKRAINE, Kyiv, Vasylkivska str., 37","['195.182.194.0', '195.182.195.255']",UA-GIGACLOUD,50.393589,30.488978
http://mincult.kmu.gov.ua,195.78.68.75,"Hrushevsky St, 12/2, Kyiv 01008 Ukraine","['195.78.68.0', '195.78.69.255']",kmu,50.447295,30.536918
http://mip.gov.ua,104.21.57.29,101 Townsend Street San Francisco CA 94107 United States,"['104.16.0.0', '104.31.255.255']",CLOUDFLARENET,37.78023,-122.39047
http://mk.archives.gov.ua,85.159.6.5,"PJSC DATAGROUP Smolenskaya str., 31-33 03005 Kiyv Ukraine","['85.159.4.0', '85.159.7.255']",RETAIL-DATAGROUP,50.45111,30.445154
http://mkms.gov.ua,104.21.16.203,101 Townsend Street San Francisco CA 94107 United States,"['104.16.0.0', '104.31.255.255']",CLOUDFLARENET,37.78023,-122.39047
http://mkrada.gov.ua,217.77.209.130,"Wild Park 327029 Lenina av. 52 Nikolaev, Ukraine","['217.77.209.0', '217.77.212.255']",WPARK,46.9713,32.0042
http://mk-vodres.davr.gov.ua,194.54.82.78,"Velika Morska str. 23, of. 28 54030 Mykolayiv UKRAINE","['194.54.80.0', '194.54.83.255']",ORG-FPA22-RIPE,46.475537,30.743926
http://mlt.gov.ua,193.0.61.232,"per Zahidniy 3c, of 3-13 Kiev, Ukraine","['193.0.61.0', '193.0.61.255']",CITYHOST-UA,50.45,30.52361
http://moldova.mfa.gov.ua,104.18.14.64,101 Townsend Street San Francisco CA 94107 United States,"['104.16.0.0', '104.31.255.255']",CLOUDFLARENET,37.78023,-122.39047
http://mon.gov.ua,212.26.132.61,"51A, Kharkivske shosse str., Kyiv, 02096, Ukraine","['212.26.132.0', '212.26.132.255']",UA-ADAM-VPS-1,50.428026,30.648455
http://montenegro.mfa.gov.ua,104.18.14.64,101 Townsend Street San Francisco CA 94107 United States,"['104.16.0.0', '104.31.255.255']",CLOUDFLARENET,37.78023,-122.39047
http://morocco.mfa.gov.ua,104.18.15.64,101 Townsend Street San Francisco CA 94107 United States,"['104.16.0.0', '104.31.255.255']",CLOUDFLARENET,37.78023,-122.39047
http://moz.gov.ua,104.18.8.180,101 Townsend Street San Francisco CA 94107 United States,"['104.16.0.0', '104.31.255.255']",CLOUDFLARENET,37.78023,-122.39047
http://mpe.kmu.gov.ua,195.78.68.77,"Hrushevsky St, 12/2, Kyiv 01008 Ukraine","['195.78.68.0', '195.78.69.255']",kmu,50.447295,30.536918
http://mpmr.gov.ua,185.67.1.27,"st. Yuriya Popravky, 4/39-A, of. 379 02094 Kyiv UKRAINE","['185.67.0.0', '185.67.3.255']",UA-HOSTPROLAB-20140812,50.454209,30.637312
http://mrada-baranivka.gov.ua,185.68.16.191,"Hosting Ukraine LTD PO Box 65 04112, Kiev, Ukraine","['185.68.16.0', '185.68.16.255']",HUPROXY,50.466847,30.449383
http://mradapology.gov.ua,91.239.232.37,"st. Yuriya Popravky, 4/39-A, of. 379 02094 Kyiv UKRAINE","['91.239.232.0', '91.239.235.255']",UA-HOSTPROLAB,50.454209,30.637312
http://mr.gov.ua,194.28.172.235,"21029, Ukraine, Vinnitsa Khmelnytske shose str 112-A","['194.28.172.0', '194.28.175.255']",BESTHOSTING-NET2,44.9333,34.1
http://mrr.gov.ua,188.120.255.87,"Cloud JSC 4, 34a, Raduzhny m-r 664017 Irkutsk Russian Federation","['188.120.254.0', '188.120.255.255']",CLOUD-NET,52.24,104.28
http://mrugeo.ukrdgri.gov.ua,185.68.16.170,"Hosting Ukraine LTD PO Box 65 04112, Kiev, Ukraine","['185.68.16.0', '185.68.16.255']",HUPROXY,50.466847,30.449383
http://msp.gov.ua,62.80.174.14,"Ukraine, Kiev Lysenko st., 8","['62.80.174.0', '62.80.174.255']",UATELECOM-NET,50.45,30.52361
http://mtlrg-kr.gov.ua,193.0.61.30,"per Zahidniy 3c, of 3-13 Kiev, Ukraine","['193.0.61.0', '193.0.61.255']",CITYHOST-UA,50.45,30.52361
http://mtot.gov.ua,5.181.248.183,"Ukraine, 01042, Kyiv, Filatova str. 10A, office 2/39","['5.181.248.0', '5.181.251.255']",UA-WEBPRO-20190404,50.447295,30.536918
http://mtu.gov.ua,91.198.247.183,"Peremogy 14 av., Kiev, 01135, Ukraine","['91.198.247.0', '91.198.247.255']",MTU-NET,50.45068,30.486363
http://mva.gov.ua,217.25.206.42,"Fiber Optic SDH Network Kancom Ukraine 01001, Kiev, Khreshchatyk Street,19","['217.25.206.0', '217.25.207.255']",KANCOM-PPPOE-DYNAMIC-POOL,50.448114,30.602651
http://mv.kr-admin.gov.ua,195.62.15.59,"Shevchenko st. 10, Kirovograd, 25006, Ukraine","['195.62.14.0', '195.62.15.255']",SHTORM-NET,48.51,32.27
http://mvs.gov.ua,104.22.24.247,101 Townsend Street San Francisco CA 94107 United States,"['104.16.0.0', '104.31.255.255']",CLOUDFLARENET,37.78023,-122.39047
http://mykolayiv.mk.gov.ua,217.77.210.254,"Wild Park 327029 Lenina av. 52 Nikolaev, Ukraine","['217.77.209.0', '217.77.212.255']",WPARK,46.9713,32.0042
http://mykolayiv-oda.gov.ua,217.77.210.254,"Wild Park 327029 Lenina av. 52 Nikolaev, Ukraine","['217.77.209.0', '217.77.212.255']",WPARK,46.9713,32.0042
http://naas.gov.ua,77.87.194.92,"Internet Invest Ltd. 50 Gaydara str., Kyiv, Ukraine, 01033","['77.87.192.0', '77.87.199.255']",MIROHOST,50.470785,30.476065
http://naqa.gov.ua,94.131.242.94,"03022, UKRAINE, Kyiv, Yurkivska str., 34-A","['94.131.240.0', '94.131.243.255']",GT-GIGACLOUD,50.392335,30.481684
http://nato.mfa.gov.ua,104.18.15.64,101 Townsend Street San Francisco CA 94107 United States,"['104.16.0.0', '104.31.255.255']",CLOUDFLARENET,37.78023,-122.39047
http://nazk.gov.ua,91.142.175.20,"37/1, Anri Barbusa str., Kiev, Ukraine","['91.142.160.0', '91.142.175.255']",UA-SITEL-20061019,50.45,30.52361
